"age","phd","educ","logwage","hs","somecoll","college","ma","govt"
33,0,13,3.13883311719466,0,1,0,0,0
46,0,12,1.38629436111989,1,0,0,0,0
38,0,12,2.95651156040071,1,0,0,0,0
46,0,12,3.10109278921182,1,0,0,0,0
42,0,13,2.93403870454865,0,1,0,0,0
35,0,13,3.17965511171492,0,1,0,0,0
31,0,13,2.00286504198279,0,1,0,0,1
40,0,16,3.71028336277709,0,0,1,0,1
35,0,14,3.01713618221714,0,1,0,0,0
43,0,12,3.06984024570771,1,0,0,0,0
39,0,12,3.02883222198034,1,0,0,0,0
40,0,12,2.90521826601316,1,0,0,0,0
32,0,12,2.66882948794893,1,0,0,0,1
37,0,14,1.38629436111989,0,1,0,0,0
43,0,12,3.09627350277587,1,0,0,0,0
32,0,12,1.67557771493865,1,0,0,0,0
31,0,13,2.40312632221592,0,1,0,0,0
41,0,14,1.38629436111989,0,1,0,0,0
30,0,12,3.06984024570771,1,0,0,0,0
33,1,20,3.9528449999484,0,0,0,0,0
42,0,12,2.63108915996608,1,0,0,0,0
34,0,14,3.17008566069877,0,1,0,0,0
36,0,18,2.91993056013771,0,0,0,1,1
42,0,18,3.36197666850887,0,0,0,1,0
35,0,12,2.59983661646198,1,0,0,0,0
47,0,16,3.64965874096066,0,0,1,0,0
45,0,13,3.12202599887828,0,1,0,0,1
42,0,12,3.14379992880593,1,0,0,0,0
30,0,12,2.82298016777619,1,0,0,0,0
43,0,13,2.83872852474433,0,1,0,0,0
36,0,12,2.40794560865187,1,0,0,0,0
39,0,18,2.95651156040071,0,0,0,1,1
43,0,12,3.36994483815805,1,0,0,0,0
50,0,13,1.38629436111989,0,1,0,0,0
32,0,12,2.41751505966802,1,0,0,0,0
38,0,12,3.05182174020503,1,0,0,0,0
31,1,20,3.40849668414377,0,0,0,0,0
49,0,14,2.66882948794893,0,1,0,0,0
36,0,14,3.1594524043974,0,1,0,0,0
34,0,12,2.52572864430826,1,0,0,0,0
31,0,13,1.97556801514359,0,1,0,0,0
50,0,12,3.18913385566946,1,0,0,0,0
42,0,16,3.43481399246114,0,0,1,0,0
48,0,12,2.78062089393705,1,0,0,0,0
36,0,12,2.85115104474288,1,0,0,0,0
45,0,12,3.49365449248407,1,0,0,0,0
44,0,14,2.6951467962663,0,1,0,0,0
36,0,14,3.05182174020503,0,1,0,0,0
39,0,12,3.50012700698969,1,0,0,0,0
32,0,16,3.01260102705175,0,0,1,0,0
35,0,16,4.8283137373023,0,0,1,0,0
44,0,14,2.878550018931,0,1,0,0,1
30,0,16,2.7333680090865,0,0,1,0,0
39,0,16,3.47232472567774,0,0,1,0,1
41,0,16,3.48981004001876,0,0,1,0,0
34,0,16,3.39322921201298,0,0,1,0,0
50,0,16,3.24419363285249,0,0,1,0,1
43,0,12,3.86275195642136,1,0,0,0,0
35,0,12,2.93630885308319,1,0,0,0,0
46,0,12,2.38262780066758,1,0,0,0,0
39,0,12,2.60553463757662,1,0,0,0,0
39,0,16,3.75000671479494,0,0,1,0,0
45,0,13,1.38629436111989,0,1,0,0,0
44,0,13,3.39476649133186,0,1,0,0,1
40,0,14,3.19492258384571,0,1,0,0,1
43,0,18,3.52182536945077,0,0,0,1,1
39,0,13,3.30716843201388,0,1,0,0,0
30,0,13,2.95651156040071,0,1,0,0,0
30,0,16,4.26484438005089,0,0,1,0,0
48,0,14,3.74459006112794,0,1,0,0,0
48,0,16,3.27496529151924,0,0,1,0,0
36,0,16,3.09004295302523,0,0,1,0,0
30,0,16,2.59983661646198,0,0,1,0,0
45,0,18,3.90097316924156,0,0,0,1,1
43,0,16,2.25379492882461,0,0,1,0,0
35,0,12,2.94694210938456,1,0,0,0,0
47,0,16,1.38629436111989,0,0,1,0,0
34,0,16,2.98120417299108,0,0,1,0,0
36,0,12,2.16905370036952,1,0,0,0,0
37,0,13,3.48713981146288,0,1,0,0,0
48,0,12,4.25806469306551,1,0,0,0,0
40,0,12,3.05182174020503,1,0,0,0,0
40,0,14,3.24122046737307,0,1,0,0,1
35,0,18,4.52512747831455,0,0,0,1,0
50,0,16,1.38629436111989,0,0,1,0,0
40,0,18,3.42651518964645,0,0,0,1,0
39,0,18,3.44201937618241,0,0,0,1,0
48,0,16,2.90042209374967,0,0,1,0,0
42,1,20,3.70542451886651,0,0,0,0,0
50,0,13,2.95651156040071,0,1,0,0,0
30,0,16,4.20927452889608,0,0,1,0,0
43,0,16,3.83198029775461,0,0,1,0,1
38,0,13,2.95651156040071,0,1,0,0,1
47,0,16,3.17965511171492,0,0,1,0,0
34,0,16,2.90521826601316,0,0,1,0,0
44,0,13,2.82298016777619,0,1,0,0,0
45,0,12,1.38629436111989,1,0,0,0,0
45,0,12,2.95651156040071,1,0,0,0,0
32,0,14,3.2188758248682,0,1,0,0,0
48,0,16,3.96811247207919,0,0,1,0,0
42,0,13,4.09594584358907,0,1,0,0,0
41,0,13,3.15718225586286,0,1,0,0,0
34,0,14,3.29298379702192,0,1,0,0,0
46,0,16,3.34597632716243,0,0,1,0,0
34,0,12,2.95651156040071,1,0,0,0,0
45,0,13,3.36197666850887,0,1,0,0,0
49,0,12,3.17965511171492,1,0,0,0,0
36,0,14,3.09627350277587,0,1,0,0,0
43,0,16,3.44201937618241,0,0,1,0,0
44,0,16,3.75626847601891,0,0,1,0,0
37,0,13,4.02980604108453,0,1,0,0,0
31,0,12,2.95651156040071,1,0,0,0,0
49,0,13,3.10109278921182,0,1,0,0,1
47,0,13,2.26336437984076,0,1,0,0,0
34,0,16,5.99146454710798,0,0,1,0,0
40,0,12,3.51612734833613,1,0,0,0,0
44,0,16,1.38629436111989,0,0,1,0,0
49,0,18,4.16048436472665,0,0,0,1,0
38,0,16,3.54429822530283,0,0,1,0,0
45,0,18,3.13883311719466,0,0,0,1,0
